home_team,away_team,home_odds,away_odds,commence_time
Charlotte Hornets,Sacramento Kings,380,-476,2025-04-04T23:10:00Z
Indiana Pacers,Utah Jazz,-1429,825,2025-04-04T23:10:00Z
Boston Celtics,Phoenix Suns,-833,630,2025-04-04T23:40:00Z
Toronto Raptors,Detroit Pistons,440,-588,2025-04-04T23:40:00Z
Chicago Bulls,Portland Trail Blazers,-238,195,2025-04-05T00:10:00Z
San Antonio Spurs,Cleveland Cavaliers,575,-833,2025-04-05T00:10:00Z
Houston Rockets,Oklahoma City Thunder,194,-233,2025-04-05T00:10:00Z
Golden State Warriors,Denver Nuggets,-114,-106,2025-04-05T02:10:00Z
Los Angeles Clippers,Dallas Mavericks,-556,410,2025-04-05T02:40:00Z
Los Angeles Lakers,New Orleans Pelicans,-1000,660,2025-04-05T02:40:00Z
