hometeam,awayteam,home_odds,away_odds,home_OFF_RATING,away_OFF_RATING,home_DEF_RATING,away_DEF_RATING,home_EFG_PCT,away_EFG_PCT,home_PACE,away_PACE,home_recent_win_pct,away_recent_win_pct,home_recent_avg_pts,away_recent_avg_pts,off_rating_diff,def_rating_diff,recent_win_diff,pace_diff,odds_diff,implied_home_win_pct,implied_away_win_pct,implied_win_diff
Orlando Magic,Boston Celtics,-164,145,108.5,119.6,109.5,110.2,0.506,0.563,96.59,97.0,0.5,0.5,110,110,-1.7000000000000028,-10.099999999999994,0.0,-0.4099999999999966,-309,0.006097560975609756,0.006896551724137931,-0.0007989907485281746
Washington Wizards,Philadelphia 76ers,-105,-115,106.1,111.6,117.5,117.3,0.513,0.528,102.2,97.92,0.5,0.5,110,110,-11.200000000000003,5.900000000000006,0.0,4.280000000000001,10,0.009523809523809525,0.008695652173913044,0.0008281573498964811
Toronto Raptors,Charlotte Hornets,-385,300,109.5,107.3,114.1,115.4,0.521,0.504,100.26,98.24,0.5,0.5,110,110,-5.900000000000006,6.799999999999997,0.0,2.0200000000000102,-685,0.0025974025974025974,0.0033333333333333335,-0.0007359307359307361
Dallas Mavericks,Los Angeles Lakers,148,-175,114.5,114.3,115.0,113.6,0.551,0.554,100.13,98.4,0.5,0.5,110,110,0.9000000000000057,0.7000000000000028,0.0,1.7299999999999898,323,0.006756756756756757,0.005714285714285714,0.0010424710424710429
Chicago Bulls,Miami Heat,110,-130,113.0,111.2,115.4,112.4,0.552,0.54,103.32,96.88,0.5,0.5,110,110,0.5999999999999943,4.200000000000003,0.0,6.439999999999998,240,0.00909090909090909,0.007692307692307693,0.0013986013986013977
Utah Jazz,Portland Trail Blazers,190,-233,110.4,111.5,118.4,114.5,0.536,0.524,100.77,99.22,0.5,0.5,110,110,-4.099999999999994,6.900000000000006,0.0,1.5499999999999972,423,0.005263157894736842,0.004291845493562232,0.0009713124011746102
Sacramento Kings,Denver Nuggets,142,-169,115.6,119.0,115.2,115.3,0.546,0.573,99.33,100.76,0.5,0.5,110,110,0.29999999999999716,-3.799999999999997,0.0,-1.4300000000000068,311,0.007042253521126761,0.005917159763313609,0.0011250937578131514
Golden State Warriors,San Antonio Spurs,-1111,700,113.3,113.9,111.3,115.9,0.533,0.545,99.54,99.99,0.5,0.5,110,110,-2.6000000000000085,-2.6000000000000085,0.0,-0.44999999999998863,-1811,0.0009000900090009,0.0014285714285714286,-0.0005284814195705285
Phoenix Suns,Oklahoma City Thunder,430,-556,115.2,118.9,116.7,106.2,0.564,0.559,98.44,100.6,0.5,0.5,110,110,9.0,-2.200000000000003,0.0,-2.1599999999999966,986,0.002325581395348837,0.0017985611510791368,0.0005270202442697004
Los Angeles Clippers,Houston Rockets,-270,220,111.6,114.3,104.7,109.7,0.533,0.517,95.4,98.85,0.5,0.5,110,110,1.8999999999999915,-9.599999999999994,0.0,-3.4499999999999886,-490,0.003703703703703704,0.004545454545454545,-0.0008417508417508414
